No.,Company,Category,Website
,,,
1,Entomo,"Channel, Partner & Local Marketing",http://www.entomo.com
2,[24]7,Customer Experience,http://www.247-inc.com/
3,#tagboard,Social Media Marketing & Monitoring,https://tagboard.com/
4,11 Ants Analytics,Retail & Proximity Marketing,https://www.11antsanalytics.com/
5,123 SignUp,"Events, Meetings & Webinars",https://www.123signup.com/
6,140 Proof,Mobile Marketing,https://www.140proof.com/
7,15five,Talent Management,http://www.15five.com/
8,1CRM,CRM,https://www.1crm.com/
9,23 Video,Video Marketing,http://www.23video.com/
10,24-7 Press Release,PR,http://www.24-7pressrelease.com/
11,33 across,Display & Programatic Advertising,http://www.33across.com/
12,3BL Media,PR,http://3blmedia.com/
13,3dcart,E-Commerce Platforms & Carts,http://www.3dcart.com/
14,40 Nuggets,"Optimization, Personalization & Testing",https://40nuggets.com/
15,4C Insights,Search & Social Advertising,http://www.4cinsights.com/
16,4Info,Display & Programatic Advertising,https://www.4info.com/
17,4Tell,Ecommerce Marketing,http://www.4-tell.com/
18,6Connex,"Events, Meetings & Webinars",http://6connex.com/
19,6sense,Predictive Analytic,https://6sense.com/
20,7search,Display & Programatic Advertising,https://www.7search.com/
21,7TAG,"iPaaS, Cloud/Data Integration & Tag Management",https://7tag.org/docs/introduction/
22,8 seconds,"Optimization, Personalization & Testing",http://8seconds.net/
23,900DPI,CMS & Web Experience Management,http://900dpi.com/
24,9Lenses,Collaboration,http://www.9lenses.com/
25,AAAAAAA,Audience/Market Data & Data Enhancement,http://www.acemetrix.com/
26,Aabaco,E-Commerce Platforms & Carts,https://www.aabacosmallbusiness.com/
27,Aarki,Mobile Marketing,http://www.aarki.com/
28,ab tasty,"Optimization, Personalization & Testing",https://en.abtasty.com/
29,abakicus,"Marketing Analytics, Performance & Attribution",http://abakus.me/
30,Aberdeen Group,Vendor Analysis,http://www.aberdeen.com/
31,abilitycommerce,E-Commerce Platforms & Carts,http://www.abilitycommerce.com/
32,ABZV,Dashboards & Data Visualization,http://www.abzv.de/journalismus/
33,Acadaca,E-Commerce Platforms & Carts,http://www.acadaca.com/
34,accello,CRM,https://www.accelo.com/
35,Accengage,Mobile Marketing,http://www.accengage.com/
36,accent,"Sales Automation, Enablement & Intelligence",https://accent-technologies.com/
37,Accompany,"Sales Automation, Enablement & Intelligence",https://www.accompany.com/
38,accuData,Audience/Market Data & Data Enhancement,http://www.accudata.com/
39,Ace Project,Projects & Workflow,http://www.aceproject.com/
40,AcoordantMedia,Display & Programatic Advertising,http://accordantmedia.com/
41,acquia,CMS & Web Experience Management,https://www.acquia.com/
42,acquia,E-Commerce Platforms & Carts,https://www.acquia.com/
43,acquisio,Search & Social Advertising,http://www.acquisio.com/
44,Acrolinx,Content Marketing,http://www.acrolinx.com
45,Acteamo,Projects & Workflow,https://www.acteamo.com/
46,actian,Business/Customer Intelligence & Data Science,http://www.actian.com/
47,ActionIQ,"Marketing Analytics, Performance & Attribution",http://www.actioniq.co/
48,ActionX,Mobile Marketing,http://www.actionx.com/
49,Actito,Marketing Automation & Campaign/Lead Management,https://www.cmtelecom.com/customers/actito
50,Active Demand,Marketing Automation & Campaign/Lead Management,https://www.activedemand.com/pricing/
51,active network,"Events, Meetings & Webinars",http://www.activenetwork.com/
52,Active.collab,Collaboration,https://www.activecollab.com/
53,Acton,Marketing Automation & Campaign/Lead Management,https://www.act-on.in/
54,Acuity,Display & Programatic Advertising,https://acuityads.com/
55,Acunote,Agile & Lean Management,http://www.acunote.com/
56,acxiom,"Optimization, Personalization & Testing",http://www.acxiom.com/
57,acxiom,Audience/Market Data & Data Enhancement,http://www.acxiom.com/
58,Ad Adapted,Mobile Marketing,http://adadapted.com/
59,ad espresso,Search & Social Advertising,http://adespresso.com/
60,AD Fits Gladly,Display & Programatic Advertising,Unknown
61,Ad Luge,"Optimization, Personalization & Testing",http://www.adluge.com/
62,Ad pipes,Display & Programatic Advertising,http://adpipes.io/
63,Adacado,Display & Programatic Advertising,http://www.adacado.com/
64,AdAction Interactive,Mobile Marketing,http://www.adaction.mobi/
65,Adadyn,Display & Programatic Advertising,http://www.adadyn.com/
66,adam,DAM & MRM,https://www.adamsoftware.net/
67,adam,"Channel, Partner & Local Marketing",https://www.adamsoftware.net/
68,Adapt,CRM,http://www.adaptcrm.com/
69,Adaptive Insights,Budgeting & Finance,http://www.adaptiveinsights.com/
70,adaptly,Display & Programatic Advertising,http://adaptly.com/
71,Adaptris,"iPaaS, Cloud/Data Integration & Tag Management",http://www.adaptris.com/
72,Adara,Display & Programatic Advertising,http://adara.com/
73,Adbasis,Display & Programatic Advertising,https://www.adbasis.com/
74,Adbeat,Display & Programatic Advertising,http://www.adbeat.com/
75,AdBlade,Native & Content Advertising,https://adblade.com/
76,Adbrain,DMP,www.adbrain.com/
77,Adcade,Display & Programatic Advertising,https://www.adcade.com/
78,Adchemix,Ecommerce Marketing,http://www.adchemix.com/
79,AdClarity,Display & Programatic Advertising,http://www.adclarity.com/
80,AdColony,Mobile Marketing,http://www.adcolony.com/
81,adcore,Search & Social Advertising,http://www.adcore.com/
82,Adcrowd,Display & Programatic Advertising,https://www.adcrowd.com/en
83,Addaptive Intelligence,Display & Programatic Advertising,http://www.addaptive.com/
84,AddShoppers,Ecommerce Marketing,http://www.addshoppers.com/
85,Addsource,Call Analytics & Management,https://www.addsource.com/
86,AddThis,Content Marketing,http://www.addthis.com
87,AddThis,Content Marketing,http://www.addthis.com
88,addthis,Social Media Marketing & Monitoring,http://www.addthis.com/
89,Adelphic,Mobile Marketing,http://www.adelphic.com/
90,adeptia,"iPaaS, Cloud/Data Integration & Tag Management",https://www.adeptia.com/
91,adestra,Email Marketing,http://www.adestra.com/
92,ADExtent,Display & Programatic Advertising,http://www.adextent.com/
93,Adform,Display & Programatic Advertising,http://site.adform.com/
94,Adform,DMP,http://site.adform.com/
95,adGear,Display & Programatic Advertising,http://adgear.com/
96,adgistics,DAM & MRM,http://www.adgistics.com/
97,adgooroo,Search & Social Advertising,http://www.adgooroo.com/
98,Adgreetz,Video Advertising,http://www.corp.adgreetz.com/
99,Adiant,Display & Programatic Advertising,http://www.adiant.com/
100,Adjust,"Marketing Analytics, Performance & Attribution",https://www.adjust.com
101,Adknowledge,Display & Programatic Advertising,http://www.adknowledge.com/
102,adlemons,Display & Programatic Advertising,http://adlemons.com/
103,Adlucent,Search & Social Advertising,http://www.adlucent.com/
104,adly,Influencers,http://www.adly.com/
105,Admant,Display & Programatic Advertising,http://www.admantx.com/
106,Admedo,Display & Programatic Advertising,http://www.admedo.com/
107,ADMingle,Search & Social Advertising,https://www.admingle.co.uk/
108,Admoda,Mobile Marketing,https://admoda.com/
109,Adngin,Search & Social Advertising,https://www.adngin.com/
110,adnovate,"Channel, Partner & Local Marketing",http://www.adnovate.com/
111,Adobe,Display & Programatic Advertising,http://www.adobe.com/
112,Adobe,Video Marketing,http://www.adobe.com/
113,Adobe,"Optimization, Personalization & Testing",http://www.adobe.com/
114,Adobe,DAM & MRM,http://www.adobe.com/
115,Adobe,CMS & Web Experience Management,http://www.adobe.com/
116,Adobe,Social Media Marketing & Monitoring,http://www.adobe.com/
117,Adobe,"Events, Meetings & Webinars",http://www.adobe.com/
118,Adobe,"Channel, Partner & Local Marketing",http://www.adobe.com/
119,Adobe,"iPaaS, Cloud/Data Integration & Tag Management",http://www.adobe.com
120,Adobe,DMP,http://www.adobe.com
121,Adobe,Mobile & Web Analytics,http://www.adobe.com/
122,adparlor,Search & Social Advertising,http://adparlor.com/
123,Adperium,Display & Programatic Advertising,http://www.adperium.com/
124,adproof,Search & Social Advertising,http://adproof.com/
125,Adpushup,"Optimization, Personalization & Testing",http://www.adpushup.com/
126,adrise,Video Advertising,https://adrise.com/
127,Adroll,Display & Programatic Advertising,https://www.adroll.com/
128,ADShift,Search & Social Advertising,https://adshift.com/
129,AdsNative,Native & Content Advertising,http://adsnative.com/
130,AdSource,Audience/Market Data & Data Enhancement,http://www.adsquare.com/
131,adspert,Search & Social Advertising,http://www.adspert.net/en/
132,AdSquare,Mobile Marketing,http://www.adsquare.com/
133,adstage,Search & Social Advertising,https://www.adstage.io/
134,ADSupply,Display & Programatic Advertising,https://www.adsupply.com/
135,AdSwerve,Display & Programatic Advertising,http://www.adswerve.com/
136,adsy.me,Interactive Content,http://www.adsy.me/
137,Adtegrity,Display & Programatic Advertising,http://www.adtegrity.com/
138,adthena,Search & Social Advertising,http://www.adthena.com/
139,Adtheorent,Display & Programatic Advertising,http://adtheorent.com/
140,adtile,Mobile Marketing,http://www.adtile.me/
141,Adtrib,Mobile Marketing,http://www.adtrib.com/
142,Advanse,Display & Programatic Advertising,http://advanseads.com/
143,Advertise.com,Display & Programatic Advertising,http://www.advertise.com/
144,advids.co,Video Advertising,http://www.advids.co/
145,AdXcel,Mobile Marketing,http://www.adxcel.com/
146,Aerobatic,CMS & Web Experience Management,https://www.aerobatic.com/
147,AeroLeads,Audience/Market Data & Data Enhancement,https://aeroleads.com/
148,AerServ,Mobile Marketing,https://www.aerserv.com/
149,Affilae,Affiliate Marketing & Management,https://affilae.com/en
150,Affiliate Wire,Affiliate Marketing & Management,https://www.affiliatewire.com/
151,Affle,Mobile Marketing,http://affle.com/
152,Agent3,ABM,http://www.agent3.com/
153,AGENTIQ,Feedback & Chat,https://agentiq.com/
154,Agile bench,Agile & Lean Management,https://agilebench.com/
155,agileCRM,CRM,https://www.agilecrm.com/
156,agility,CMS & Web Experience Management,http://agilitycms.com/
157,Agility Multichannel,Ecommerce Marketing,http://www.agilitymultichannel.com/
158,Agillic,Marketing Automation & Campaign/Lead Management,http://www.agillic.com/
159,Agilo,Agile & Lean Management,http://agilosoftware.com/
160,Agiloft,Agile & Lean Management,http://www.agiloft.com/
161,AGILONE,Customer Data Platforms,www.agilone.com/
162,Aginity,Business/Customer Intelligence & Data Science,http://www.aginity.com/
163,agora,Social Media Marketing & Monitoring,http://www.slideshare.net/aprell
164,Agora pulse,Interactive Content,http://www.agorapulse.com/
165,Aha,Projects & Workflow,http://www.aha.io/
166,ahalogy,Search & Social Advertising,http://www.ahalogy.com/
167,ahalogy,Social Media Marketing & Monitoring,http://www.ahalogy.com/
168,ahrefs,Content Marketing,http://ahrefs.com
169,Aimbase,Marketing Automation & Campaign/Lead Management,http://www.aimbase.com/
170,AirPR,PR,https://www.airpr.com/
171,airpush,Mobile Marketing,http://www.airpush.com/
172,Airspace,Retail & Proximity Marketing,http://airspace.cc/
173,AirtableQuip,Collaboration,https://zapier.com/zapbook/airtable/quip/
174,Aiselabs,Retail & Proximity Marketing,http://www.aislelabs.com/
175,Aisle411,Retail & Proximity Marketing,http://aisle411.com/
176,Aislelabs,Retail & Proximity Marketing,http://www.aislelabs.com/
177,Aitoc,Ecommerce Marketing,https://www.aitoc.com/
178,Akio,Customer Experience,www.akio.com/
179,akoonu,Content Marketing,http://www.akoonu.com
180,akoonu,Content Marketing,http://www.akoonu.com
181,Akordis Sales,"Sales Automation, Enablement & Intelligence",http://www.akordis.com/
182,Alexa,Audience/Market Data & Data Enhancement,http://www.alexa.com/
183,alfresco,CMS & Web Experience Management,http://www.alfresco.com/
184,Algolytics,Business/Customer Intelligence & Data Science,http://algolytics.com/
185,AlignStar,"Sales Automation, Enablement & Intelligence",http://alignstar.com/
186,Alinean,Interactive Content,http://alinean.com/
187,Alkemics,Ecommerce Marketing,http://www.alkemics.com/en/
188,All Bound,"Channel, Partner & Local Marketing",https://www.allbound.com/
189,Allegiance,"Customer Experience, Service & Success",http://www.allegiance.com
190,alliancetech,"Events, Meetings & Webinars",http://www.alliancetech.com/
191,alliant,Audience/Market Data & Data Enhancement,http://www.allantgroup.com/
192,Allinio (logo?),Social Media Marketing & Monitoring,Unknown
193,allocadia,"Marketing Analytics, Performance & Attribution",http://www.allocadia.com/
194,Allocadia,Budgeting & Finance,http://www.allocadia.com/
195,Alooma,"iPaaS, Cloud/Data Integration & Tag Management",https://www.alooma.com/
196,alpine data,Business/Customer Intelligence & Data Science,http://alpinenow.com/
197,Alteryx,Business/Customer Intelligence & Data Science,http://www.alteryx.com/
198,altruik,SEO,http://www.altruik.com/
199,Altus,Search & Social Advertising,https://altus.io/
200,Amacus,"Sales Automation, Enablement & Intelligence",https://amacus.net/
201,Amasty,Ecommerce Marketing,https://amasty.com/
202,Amazon.com,Native & Content Advertising,http://www.amazon.com/
203,Ambition,"Sales Automation, Enablement & Intelligence",https://ambition.com/
204,Amity,Customer Experience,http://getamity.com
205,AMoBee,Display & Programatic Advertising,http://amobee.com/
206,AmoCRM,CRM,http://www.amocrm.com/
207,Amplero,"Optimization, Personalization & Testing",http://www.amplero.com/
208,amplitude,Mobile & Web Analytics,https://amplitude.com/
209,Ampsy,Social Media Marketing & Monitoring,http://ampsy.com/
210,ampush,Search & Social Advertising,http://www.ampush.com/
211,analytic partners,"Marketing Analytics, Performance & Attribution",http://www.analyticpartners.com/
212,analytics seo,SEO,http://www.analyticsseo.com/
213,andara,Dashboards & Data Visualization,http://www.andara.bi/
214,angoss,Business/Customer Intelligence & Data Science,http://www.angoss.com/
215,animoto,Video Marketing,https://animoto.com/
216,Annalect,Business/Customer Intelligence & Data Science,https://www.annalect.com/
217,Answer Media,Video Advertising,http://www.answermedia.com/
218,AnswerDash,Customer Experience,http://www.answerdash.com/
219,Antavo,"Advocay, Loyalty & Referrals",https://antavo.com/
220,Antics DMS,"Advocay, Loyalty & Referrals",https://www.anticsdms.com
221,anymeeting,"Events, Meetings & Webinars",https://www.anymeeting.com/
222,Aol,Mobile Marketing,http://www.aol.com/
223,Aol,Display & Programatic Advertising,http://www.aol.com/
224,Aol,Video Advertising,http://www.aol.com/
225,aol,"Marketing Analytics, Performance & Attribution",http://www.aol.com/
226,Apex Pacific,Search & Social Advertising,http://www.apexpacific.com/
227,Aplicor,CRM,http://www.aplicor.com/
228,App Annie,Mobile & Web Analytics,https://www.appannie.com/
229,AppAction,Social Media Marketing & Monitoring,https://www.appaction.io/
230,Apparound,"Sales Automation, Enablement & Intelligence",http://www.apparound.com/
231,Appbaker,Mobile Apps,http://appbaker.com/
232,AppBlade,Mobile Apps,https://appblade.com/
233,Appcelerator,Mobile Apps,http://www.appcelerator.com/
234,AppDataRoom,"Sales Automation, Enablement & Intelligence",http://appdataroom.com/
235,Appery.io,Mobile Apps,https://appery.io/
236,appfigures,Mobile Apps,https://appfigures.com/
237,AppFireworks,Mobile Apps,http://www.appfireworks.com/
238,Appforma,Marketing Automation & Campaign/Lead Management,https://www.appforma.com/
239,Appglu,Mobile Apps,https://arctouch.com/appglu/
240,Appier,Display & Programatic Advertising,https://www.appier.com/en/index.html
241,AppInstitute,Mobile Apps,http://appinstitute.com
242,Applause,Mobile Marketing,http://www.applause.com/
243,Apple,Mobile Apps,apple.com
244,Apple,Content Marketing,apple.com
245,AppLift,Mobile Marketing,http://www.applift.com/
246,AppLovin,Mobile Marketing,https://www.applovin.com/
247,Appmakr,Mobile Apps,http://www.appmakr.com/
248,appnext,Mobile Marketing,http://www.appnext.com/
